model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
ru_modern_bert_base,0.16,0.38,0.45999999999999996,0.7022
ru_modern_bert_base,0.16,0.4,0.43999999999999995,0.701
ru_modern_bert_base,0.16,0.42,0.42,0.7002999999999999
ru_modern_bert_base,0.16,0.44,0.39999999999999997,0.6998
ru_modern_bert_base,0.16,0.46,0.37999999999999995,0.699
ru_modern_bert_base,0.16,0.48,0.36,0.6985
ru_modern_bert_base,0.16,0.5,0.33999999999999997,0.6975
ru_modern_bert_base,0.16,0.52,0.31999999999999995,0.6972
ru_modern_bert_base,0.16,0.54,0.29999999999999993,0.6969
ru_modern_bert_base,0.16,0.56,0.2799999999999999,0.6962999999999999
ru_modern_bert_base,0.16,0.58,0.26,0.6957000000000001
ru_modern_bert_base,0.16,0.6,0.24,0.6952999999999999
ru_modern_bert_base,0.16,0.62,0.21999999999999997,0.6954
ru_modern_bert_base,0.16,0.64,0.19999999999999996,0.6947
ru_modern_bert_base,0.16,0.66,0.17999999999999994,0.6942
ru_modern_bert_base,0.16,0.68,0.15999999999999992,0.6937000000000001
ru_modern_bert_base,0.16,0.7000000000000001,0.1399999999999999,0.6932999999999999
ru_modern_bert_base,0.16,0.72,0.12,0.6925
ru_modern_bert_base,0.16,0.74,0.09999999999999998,0.6917000000000001
ru_modern_bert_base,0.16,0.76,0.07999999999999996,0.6912999999999999
ru_modern_bert_base,0.16,0.78,0.05999999999999994,0.6910999999999999
ru_modern_bert_base,0.16,0.8,0.039999999999999925,0.6907000000000001
ru_modern_bert_base,0.16,0.8200000000000001,0.019999999999999907,0.6901
ru_modern_bert_base,0.16,0.84,0.0,0.6869
ru_modern_bert_base,0.18,0.0,0.8200000000000001,0.7227
ru_modern_bert_base,0.18,0.02,0.8,0.7226
ru_modern_bert_base,0.18,0.04,0.78,0.7214
ru_modern_bert_base,0.18,0.06,0.76,0.7193999999999999
ru_modern_bert_base,0.18,0.08,0.7400000000000001,0.7193999999999998
ru_modern_bert_base,0.18,0.1,0.7200000000000001,0.718
ru_modern_bert_base,0.18,0.12,0.7000000000000001,0.716
ru_modern_bert_base,0.18,0.14,0.68,0.715
ru_modern_bert_base,0.18,0.16,0.66,0.713
ru_modern_bert_base,0.18,0.18,0.6400000000000001,0.7116
ru_modern_bert_base,0.18,0.2,0.6200000000000001,0.711
