model,alpha (BM25),beta (TF-IDF),gamma (Transformer),recall@5
sbert,0.1,0.56,0.33999999999999997,0.7706000000000001
sbert,0.1,0.58,0.32000000000000006,0.7665
sbert,0.1,0.6,0.30000000000000004,0.7612000000000001
sbert,0.1,0.62,0.28,0.7557
sbert,0.1,0.64,0.26,0.7506
sbert,0.1,0.66,0.24,0.7455
sbert,0.1,0.68,0.21999999999999997,0.7405
sbert,0.1,0.7000000000000001,0.19999999999999996,0.7361
sbert,0.1,0.72,0.18000000000000005,0.7310999999999999
sbert,0.1,0.74,0.16000000000000003,0.7263
sbert,0.1,0.76,0.14,0.7219000000000001
sbert,0.1,0.78,0.12,0.7179000000000001
sbert,0.1,0.8,0.09999999999999998,0.7133999999999999
sbert,0.1,0.8200000000000001,0.07999999999999996,0.7084000000000001
sbert,0.1,0.84,0.06000000000000005,0.7041000000000001
sbert,0.1,0.86,0.040000000000000036,0.7001000000000001
sbert,0.1,0.88,0.020000000000000018,0.6967000000000001
sbert,0.1,0.9,0.0,0.6862999999999999
sbert,0.12,0.0,0.88,0.9136000000000002
sbert,0.12,0.02,0.86,0.9109
sbert,0.12,0.04,0.84,0.9071
sbert,0.12,0.06,0.8200000000000001,0.9032
sbert,0.12,0.08,0.8,0.8984000000000001
sbert,0.12,0.1,0.78,0.8936000000000001
sbert,0.12,0.12,0.76,0.8887
sbert,0.12,0.14,0.74,0.8824000000000001
sbert,0.12,0.16,0.72,0.8773000000000001
sbert,0.12,0.18,0.7,0.8723000000000001
sbert,0.12,0.2,0.6799999999999999,0.8665
sbert,0.12,0.22,0.66,0.8606000000000001
sbert,0.12,0.24,0.64,0.8544
sbert,0.12,0.26,0.62,0.8477
sbert,0.12,0.28,0.6,0.841
sbert,0.12,0.3,0.5800000000000001,0.8356000000000001
sbert,0.12,0.32,0.56,0.829
sbert,0.12,0.34,0.54,0.8235
sbert,0.12,0.36,0.52,0.8176000000000001
sbert,0.12,0.38,0.5,0.8119000000000001
sbert,0.12,0.4,0.48,0.8056
sbert,0.12,0.42,0.46,0.8010000000000002
sbert,0.12,0.44,0.44,0.7961
sbert,0.12,0.46,0.42,0.7912
sbert,0.12,0.48,0.4,0.7854000000000001
sbert,0.12,0.5,0.38,0.7808999999999999
sbert,0.12,0.52,0.36,0.7763
sbert,0.12,0.54,0.33999999999999997,0.77
sbert,0.12,0.56,0.31999999999999995,0.7663000000000001
sbert,0.12,0.58,0.30000000000000004,0.7614000000000001
sbert,0.12,0.6,0.28,0.7563
sbert,0.12,0.62,0.26,0.7505
sbert,0.12,0.64,0.24,0.7452000000000001
sbert,0.12,0.66,0.21999999999999997,0.7407
sbert,0.12,0.68,0.19999999999999996,0.736
sbert,0.12,0.7000000000000001,0.17999999999999994,0.7312000000000001
sbert,0.12,0.72,0.16000000000000003,0.7266
sbert,0.12,0.74,0.14,0.722
sbert,0.12,0.76,0.12,0.7175
sbert,0.12,0.78,0.09999999999999998,0.7135
sbert,0.12,0.8,0.07999999999999996,0.7089000000000001
sbert,0.12,0.8200000000000001,0.05999999999999994,0.7047
sbert,0.12,0.84,0.040000000000000036,0.7004000000000001
sbert,0.12,0.86,0.020000000000000018,0.6967000000000001
sbert,0.12,0.88,0.0,0.6869
sbert,0.14,0.0,0.86,0.9107999999999999
sbert,0.14,0.02,0.84,0.9072
sbert,0.14,0.04,0.82,0.903
sbert,0.14,0.06,0.8,0.8982
sbert,0.14,0.08,0.78,0.893
sbert,0.14,0.1,0.76,0.8887999999999999
sbert,0.14,0.12,0.74,0.8829000000000001
sbert,0.14,0.14,0.72,0.8772000000000001
sbert,0.14,0.16,0.7,0.8718
sbert,0.14,0.18,0.6799999999999999,0.8665000000000002
sbert,0.14,0.2,0.6599999999999999,0.8601
sbert,0.14,0.22,0.64,0.8539000000000001
sbert,0.14,0.24,0.62,0.8478000000000001
sbert,0.14,0.26,0.6,0.8413
sbert,0.14,0.28,0.58,0.8355
sbert,0.14,0.3,0.56,0.8292
sbert,0.14,0.32,0.54,0.8232999999999999
sbert,0.14,0.34,0.52,0.8175
sbert,0.14,0.36,0.5,0.8122
sbert,0.14,0.38,0.48,0.8057000000000001
sbert,0.14,0.4,0.45999999999999996,0.8012
sbert,0.14,0.42,0.44,0.7962
sbert,0.14,0.44,0.42,0.7911000000000001
sbert,0.14,0.46,0.39999999999999997,0.7858
sbert,0.14,0.48,0.38,0.7808
sbert,0.14,0.5,0.36,0.7764000000000001
sbert,0.14,0.52,0.33999999999999997,0.7699000000000001
sbert,0.14,0.54,0.31999999999999995,0.7664000000000001
sbert,0.14,0.56,0.29999999999999993,0.7615
sbert,0.14,0.58,0.28,0.7567
sbert,0.14,0.6,0.26,0.7505
sbert,0.14,0.62,0.24,0.7454000000000001
sbert,0.14,0.64,0.21999999999999997,0.7409
sbert,0.14,0.66,0.19999999999999996,0.7362
sbert,0.14,0.68,0.17999999999999994,0.7315
sbert,0.14,0.7000000000000001,0.15999999999999992,0.7267
sbert,0.14,0.72,0.14,0.7222
sbert,0.14,0.74,0.12,0.7181000000000001
sbert,0.14,0.76,0.09999999999999998,0.7138
sbert,0.14,0.78,0.07999999999999996,0.7088
sbert,0.14,0.8,0.05999999999999994,0.7053
sbert,0.14,0.8200000000000001,0.039999999999999925,0.7006
sbert,0.14,0.84,0.020000000000000018,0.6968
sbert,0.14,0.86,0.0,0.6871
sbert,0.16,0.0,0.84,0.9063
sbert,0.16,0.02,0.82,0.9023
sbert,0.16,0.04,0.7999999999999999,0.898
sbert,0.16,0.06,0.78,0.8928
sbert,0.16,0.08,0.76,0.8884000000000001
sbert,0.16,0.1,0.74,0.8831
sbert,0.16,0.12,0.72,0.8767999999999999
sbert,0.16,0.14,0.7,0.8716000000000002
sbert,0.16,0.16,0.6799999999999999,0.8663
sbert,0.16,0.18,0.6599999999999999,0.8602000000000001
sbert,0.16,0.2,0.6399999999999999,0.8538
sbert,0.16,0.22,0.62,0.8476000000000001
sbert,0.16,0.24,0.6,0.8418
sbert,0.16,0.26,0.58,0.8352999999999999
sbert,0.16,0.28,0.5599999999999999,0.8291000000000001
sbert,0.16,0.3,0.54,0.8237000000000001
sbert,0.16,0.32,0.52,0.8178
sbert,0.16,0.34,0.49999999999999994,0.8127000000000001
sbert,0.16,0.36,0.48,0.8055
sbert,0.16,0.38,0.45999999999999996,0.8013000000000001
sbert,0.16,0.4,0.43999999999999995,0.7961
sbert,0.16,0.42,0.42,0.7911000000000001
sbert,0.16,0.44,0.39999999999999997,0.7859
sbert,0.16,0.46,0.37999999999999995,0.7804000000000001
sbert,0.16,0.48,0.36,0.7766000000000002
sbert,0.16,0.5,0.33999999999999997,0.7701999999999999
sbert,0.16,0.52,0.31999999999999995,0.7668
sbert,0.16,0.54,0.29999999999999993,0.7615
sbert,0.16,0.56,0.2799999999999999,0.7567
sbert,0.16,0.58,0.26,0.7506
sbert,0.16,0.6,0.24,0.7462000000000001
sbert,0.16,0.62,0.21999999999999997,0.7410999999999999
sbert,0.16,0.64,0.19999999999999996,0.7367
sbert,0.16,0.66,0.17999999999999994,0.7315
sbert,0.16,0.68,0.15999999999999992,0.7272000000000001
sbert,0.16,0.7000000000000001,0.1399999999999999,0.7225
sbert,0.16,0.72,0.12,0.718
sbert,0.16,0.74,0.09999999999999998,0.7139000000000001
sbert,0.16,0.76,0.07999999999999996,0.7091000000000001
sbert,0.16,0.78,0.05999999999999994,0.705
sbert,0.16,0.8,0.039999999999999925,0.7009000000000001
sbert,0.16,0.8200000000000001,0.019999999999999907,0.6972
sbert,0.16,0.84,0.0,0.6869
sbert,0.18,0.0,0.8200000000000001,0.9021
sbert,0.18,0.02,0.8,0.8977
sbert,0.18,0.04,0.78,0.8925
sbert,0.18,0.06,0.76,0.8882000000000001
sbert,0.18,0.08,0.7400000000000001,0.8834000000000001
sbert,0.18,0.1,0.7200000000000001,0.8769000000000001
sbert,0.18,0.12,0.7000000000000001,0.8708
sbert,0.18,0.14,0.68,0.8661
sbert,0.18,0.16,0.66,0.8601000000000001
sbert,0.18,0.18,0.6400000000000001,0.8534
sbert,0.18,0.2,0.6200000000000001,0.8476999999999999
sbert,0.18,0.22,0.6000000000000001,0.8417
sbert,0.18,0.24,0.5800000000000001,0.8347
sbert,0.18,0.26,0.56,0.8292
sbert,0.18,0.28,0.54,0.824
sbert,0.18,0.3,0.52,0.8181
sbert,0.18,0.32,0.5,0.813
sbert,0.18,0.34,0.48000000000000004,0.8058000000000001
sbert,0.18,0.36,0.4600000000000001,0.8013000000000001
sbert,0.18,0.38,0.44000000000000006,0.7964000000000001
